Net Status Report
Filename     : C:\ZRLaptop\Altium6Work\Sram_Autorouting_Demo\SramDemo.PcbDoc
Date         : 03/08/2006
Time         : 12:48:26
Time Elapsed : 00:00:00

Nets, Layer, Length
    +3V3, Signal Layers Only, 0mm
    +VBAT, Signal Layers Only, 0mm
    0VD, Signal Layers Only, 0mm
    A0, Signal Layers Only, 0mm
    A1, Signal Layers Only, 0mm
    A10, Signal Layers Only, 0mm
    A11, Signal Layers Only, 0mm
    A12, Signal Layers Only, 0mm
    A13, Signal Layers Only, 0mm
    A14, Signal Layers Only, 0mm
    A15, Signal Layers Only, 0mm
    A16, Signal Layers Only, 0mm
    A17, Signal Layers Only, 0mm
    A18, Signal Layers Only, 0mm
    A2, Signal Layers Only, 0mm
    A3, Signal Layers Only, 0mm
    A4, Signal Layers Only, 0mm
    A5, Signal Layers Only, 0mm
    A6, Signal Layers Only, 0mm
    A7, Signal Layers Only, 0mm
    A8, Signal Layers Only, 0mm
    A9, Signal Layers Only, 0mm
    D0, Signal Layers Only, 0mm
    D1, Signal Layers Only, 0mm
    D10, Signal Layers Only, 0mm
    D11, Signal Layers Only, 0mm
    D12, Signal Layers Only, 0mm
    D13, Signal Layers Only, 0mm
    D14, Signal Layers Only, 0mm
    D15, Signal Layers Only, 0mm
    D2, Signal Layers Only, 0mm
    D3, Signal Layers Only, 0mm
    D4, Signal Layers Only, 0mm
    D5, Signal Layers Only, 0mm
    D6, Signal Layers Only, 0mm
    D7, Signal Layers Only, 0mm
    D8, Signal Layers Only, 0mm
    D9, Signal Layers Only, 0mm
    G_CS, Signal Layers Only, 0mm
    NC4, Signal Layers Only, 0mm
    NC5, Signal Layers Only, 0mm
    NetMOD1_A68, Signal Layers Only, 0mm
    NetMOD1_A69, Signal Layers Only, 0mm
    NetMOD1_A70, Signal Layers Only, 0mm
    NetMOD1_A71, Signal Layers Only, 0mm
    NetMOD1_A72, Signal Layers Only, 0mm
    NetMOD1_A73, Signal Layers Only, 0mm
    NetMOD1_A74, Signal Layers Only, 0mm
    NetMOD1_A75, Signal Layers Only, 0mm
    NetMOD1_A76, Signal Layers Only, 0mm
    NetMOD1_A77, Signal Layers Only, 0mm
    NetMOD1_A78, Signal Layers Only, 0mm
    NetMOD1_A80, Signal Layers Only, 0mm
    NetMOD1_A81, Signal Layers Only, 0mm
    NetMOD1_A82, Signal Layers Only, 0mm
    NetMOD1_A83, Signal Layers Only, 0mm
    NetMOD1_A84, Signal Layers Only, 0mm
    NetMOD1_A85, Signal Layers Only, 0mm
    NetMOD1_A86, Signal Layers Only, 0mm
    NetMOD1_A87, Signal Layers Only, 0mm
    NetMOD1_A88, Signal Layers Only, 0mm
    NetMOD1_A89, Signal Layers Only, 0mm
    NetMOD1_A90, Signal Layers Only, 0mm
    NetMOD1_B81, Signal Layers Only, 0mm
    NetMOD1_B82, Signal Layers Only, 0mm
    NetMOD1_B83, Signal Layers Only, 0mm
    NetMOD1_B84, Signal Layers Only, 0mm
    NetMOD1_B85, Signal Layers Only, 0mm
    NetMOD1_B86, Signal Layers Only, 0mm
    NetMOD1_B87, Signal Layers Only, 0mm
    NetMOD1_B88, Signal Layers Only, 0mm
    NetMOD1_B89, Signal Layers Only, 0mm
    NetMOD1_B90, Signal Layers Only, 0mm
    NetMOD1_B91, Signal Layers Only, 0mm
    NetMOD1_B92, Signal Layers Only, 0mm
    NetMOD1_B93, Signal Layers Only, 0mm
    NetMOD1_B94, Signal Layers Only, 0mm
    NetMOD1_B95, Signal Layers Only, 0mm
    NetMOD1_B96, Signal Layers Only, 0mm
    NetR5_12, Signal Layers Only, 0mm
    NetR5_13, Signal Layers Only, 0mm
    SCON1, Signal Layers Only, 0mm
    SCON2, Signal Layers Only, 0mm
    SCON3, Signal Layers Only, 0mm
    SCON4, Signal Layers Only, 0mm
    SRAM_0, Signal Layers Only, 0mm
    SRAM_1, Signal Layers Only, 0mm
    SRAM_2, Signal Layers Only, 0mm
    SRAM_PU1, Signal Layers Only, 0mm
    SRAM_PU2, Signal Layers Only, 0mm
    SRAM_PU3, Signal Layers Only, 0mm
count : 91
